,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
"prob_resp_class[25,1]",0.0312893,0.00146463,0.0595635,0.00911988,0.000241685,0.00684886,0.172246,2576.5,2249.38,167.218,1.00255
"prob_resp_class[25,2]",0.0983671,0.00309576,0.131616,0.0496659,0.00207514,0.0398071,0.408859,3040.85,2465.73,197.355,1.00171
"prob_resp_class[25,3]",0.196941,0.00152201,0.112522,0.125306,0.0246574,0.1914,0.392148,5679.86,5529.53,368.631,0.999896
"prob_resp_class[25,4]",0.673403,0.00417482,0.204332,0.201299,0.267338,0.689754,0.964197,2918.28,2090.42,189.4,1.0017
"prob_resp_class[26,1]",0.0285636,0.000669584,0.034269,0.0182341,0.000658836,0.0147635,0.10272,3279.6,4519.35,212.85,1.00215
"prob_resp_class[26,2]",0.0941023,0.00113956,0.0757072,0.0770857,0.00615668,0.0757702,0.23799,5081.98,5939.5,329.827,1.00083
"prob_resp_class[26,3]",0.218636,0.00157334,0.115878,0.129855,0.0261203,0.225846,0.403098,5540.18,6443.67,359.565,0.999988
"prob_resp_class[26,4]",0.658698,0.00268353,0.167538,0.186593,0.407169,0.640653,0.947947,3785.72,4240.94,245.698,1.00123
"prob_resp_class[27,1]",0.0177455,0.000652346,0.0291818,0.00765017,0.000225681,0.00587747,0.0824872,2849.62,2796.25,184.944,1.00231
"prob_resp_class[27,2]",0.107282,0.00248614,0.112668,0.0734044,0.00399351,0.0629679,0.345304,3124.89,2333.01,202.809,1.00182
"prob_resp_class[27,3]",0.128847,0.00102806,0.084142,0.0849255,0.0134576,0.117829,0.28418,6916.02,5918.85,448.859,1.00009
"prob_resp_class[27,4]",0.746126,0.00321669,0.164589,0.170533,0.433767,0.771107,0.970798,3091.05,2657.19,200.613,1.00157
"prob_resp_class[28,1]",0.0434254,0.00197884,0.0787869,0.0147913,0.000410859,0.0112227,0.228012,2480.08,2042.33,160.96,1.00257
"prob_resp_class[28,2]",0.07792,0.00201131,0.0903877,0.0476282,0.00237722,0.0397319,0.278793,3153.88,3028.89,204.691,1.00167
"prob_resp_class[28,3]",0.290713,0.00214595,0.156725,0.176355,0.0377925,0.287973,0.544916,5475.61,5624.83,355.375,0.999768
"prob_resp_class[28,4]",0.587941,0.00376279,0.212064,0.229301,0.251083,0.567122,0.948276,3033.87,2263.53,196.902,1.00155
"prob_resp_class[29,1]",0.0525206,0.00269208,0.107532,0.011227,0.000246523,0.00822946,0.322385,2554.02,1905.96,165.759,1.00235
"prob_resp_class[29,2]",0.0785518,0.00254993,0.112688,0.0341818,0.0012494,0.0266013,0.346339,3171.12,2998.8,205.81,1.00179
"prob_resp_class[29,3]",0.303279,0.00248659,0.171489,0.20508,0.0374371,0.301272,0.581529,4941.83,5240.99,320.732,0.999943
"prob_resp_class[29,4]",0.565649,0.0042881,0.232471,0.240945,0.157943,0.54892,0.949351,2931.06,2010.14,190.23,1.0016
"prob_resp_class[30,1]",0.0515109,0.00263784,0.105377,0.0109713,0.000236954,0.00801315,0.313251,2523.91,2054.34,163.805,1.00232
"prob_resp_class[30,2]",0.0796685,0.00260196,0.114627,0.0345779,0.00125556,0.0268996,0.351453,3160.27,3040.63,205.106,1.00178
"prob_resp_class[30,3]",0.29863,0.00247198,0.17033,0.202822,0.0370388,0.294571,0.578291,4933.06,5242.93,320.162,0.999969
"prob_resp_class[30,4]",0.570191,0.0042996,0.232262,0.24294,0.164682,0.555895,0.95073,2924.53,2089.75,189.806,1.00152
"prob_resp_attr[1,1]",0.87571,0.00442582,0.177445,0.0576806,0.444627,0.953198,0.997255,2713.61,2056.89,176.117,1.00243
"prob_resp_attr[1,2]",0.635866,0.00257376,0.178342,0.186714,0.377098,0.607145,0.954404,4820.59,5491.61,312.863,1.00056
"prob_resp_attr[2,1]",0.884418,0.00300651,0.126147,0.0747248,0.604412,0.933158,0.994948,2777.9,2129.45,180.29,1.00225
"prob_resp_attr[2,2]",0.614512,0.00274674,0.186585,0.1962,0.345623,0.581475,0.949708,4595.22,5528.43,298.236,1.00043
"prob_resp_attr[3,1]",0.878638,0.00303983,0.129672,0.0799875,0.596838,0.92989,0.995118,2839.04,2136.21,184.258,1.00214
"prob_resp_attr[3,2]",0.770695,0.00173744,0.122019,0.141392,0.582133,0.762712,0.972408,5031.56,5887.18,326.555,1.00051
"prob_resp_attr[4,1]",0.879462,0.00391489,0.157348,0.0643335,0.51411,0.946191,0.996615,2727.39,1909.69,177.011,1.00215
"prob_resp_attr[4,2]",0.644106,0.00256541,0.177225,0.189671,0.383802,0.617993,0.956307,4838.25,5843.27,314.009,1.00032
"prob_resp_attr[5,1]",0.883299,0.00396548,0.158902,0.0585764,0.503685,0.950531,0.996614,2648.61,2004.72,171.898,1.00226
"prob_resp_attr[5,2]",0.501856,0.00324555,0.230909,0.241024,0.183963,0.458754,0.931515,5088.33,5807.35,330.239,1.00019
