,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
guess[8],0.219607,0.000632145,0.0670533,0.0665613,0.119985,0.21447,0.336192,11645.6,5848.97,787.346,1.00129
guess[9],0.259403,0.000625187,0.0715731,0.0712516,0.148762,0.255025,0.383804,12855.7,5303.0,869.154,1.00009
guess[10],0.162088,0.000531758,0.0575245,0.0575977,0.0786905,0.155769,0.265328,11881.4,6204.12,803.289,1.00121
lambda1,0.450228,0.00167327,0.0939537,0.0792146,0.321172,0.436445,0.634093,4082.01,2693.96,275.979,1.00179
lambda2,0.655782,0.00074006,0.0735808,0.073483,0.530829,0.657826,0.773316,9964.56,5931.5,673.69,1.00018
nu[1],0.0342485,0.000993255,0.0484388,0.0167183,0.000643936,0.0133606,0.1544,3554.08,2869.11,240.287,1.00195
nu[2],0.0825732,0.00132741,0.0758521,0.0609897,0.00459018,0.0553631,0.239487,4201.11,4376.03,284.032,1.00186
nu[3],0.259864,0.00147371,0.124943,0.136331,0.0321049,0.275259,0.447173,6899.77,5822.12,466.484,1.00101
nu[4],0.623314,0.00275761,0.181007,0.187011,0.341893,0.598225,0.948506,3850.86,3155.26,260.351,1.00156
"delta[1,1]",0.549772,0.00167327,0.0939537,0.0792146,0.365907,0.563555,0.678828,4082.01,2693.96,275.979,1.00179
"delta[1,2]",0.549772,0.00167327,0.0939537,0.0792146,0.365907,0.563555,0.678828,4082.01,2693.96,275.979,1.00179
"delta[1,3]",0.450228,0.00167327,0.0939537,0.0792146,0.321172,0.436445,0.634093,4082.01,2693.96,275.979,1.00179
"delta[1,4]",0.450228,0.00167327,0.0939537,0.0792146,0.321172,0.436445,0.634093,4082.01,2693.96,275.979,1.00179
"delta[2,1]",0.549772,0.00167327,0.0939537,0.0792146,0.365907,0.563555,0.678828,4082.01,2693.96,275.979,1.00179
"delta[2,2]",0.549772,0.00167327,0.0939537,0.0792146,0.365907,0.563555,0.678828,4082.01,2693.96,275.979,1.00179
"delta[2,3]",0.450228,0.00167327,0.0939537,0.0792146,0.321172,0.436445,0.634093,4082.01,2693.96,275.979,1.00179
"delta[2,4]",0.450228,0.00167327,0.0939537,0.0792146,0.321172,0.436445,0.634093,4082.01,2693.96,275.979,1.00179
"delta[3,1]",0.549772,0.00167327,0.0939537,0.0792146,0.365907,0.563555,0.678828,4082.01,2693.96,275.979,1.00179
"delta[3,2]",0.549772,0.00167327,0.0939537,0.0792146,0.365907,0.563555,0.678828,4082.01,2693.96,275.979,1.00179
"delta[3,3]",0.450228,0.00167327,0.0939537,0.0792146,0.321172,0.436445,0.634093,4082.01,2693.96,275.979,1.00179
"delta[3,4]",0.450228,0.00167327,0.0939537,0.0792146,0.321172,0.436445,0.634093,4082.01,2693.96,275.979,1.00179
"delta[4,1]",0.549772,0.00167327,0.0939537,0.0792146,0.365907,0.563555,0.678828,4082.01,2693.96,275.979,1.00179
